FID_,OBJECTID,OA11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other,Total_km,Average_km
,2193,E00075151,363204.534999999970000,181009.470000000000000,230,21,79,55,25,1,7,4,10,9,19,3088.400000000000100,15.300000000000001
,2194,E00075577,365585.069000000020000,175158.065999999990000,171,36,36,57,11,6,1,2,2,13,7,1423.000000000000000,9.400000000000000
,2195,E00075514,359534.473000000000000,182415.924000000000000,140,27,32,30,15,2,5,0,6,15,8,2087.900000000000100,17.800000000000001
,2196,E00075782,364894.408999999990000,180823.304999999990000,117,13,27,34,9,2,2,2,5,15,8,1323.900000000000100,14.100000000000000
,2197,E00075275,364444.886000000000000,177352.279000000010000,111,17,17,42,7,1,2,2,4,10,9,1247.300000000000000,13.600000000000000
,2198,E00075227,372925.686999999980000,182588.711000000010000,167,23,16,7,58,8,6,7,9,26,7,2846.099999999999900,21.199999999999999
,2199,E00075291,365092.534999999970000,178008.130999999990000,161,19,27,60,13,3,2,3,8,15,11,2206.500000000000000,16.300000000000001
,2200,E00075211,372712.205000000020000,191350.976000000000000,86,2,4,16,21,12,6,0,3,13,9,1312.900000000000100,20.500000000000000
,2201,E00075847,371226.772000000000000,182267.766000000000000,140,43,2,21,44,3,1,1,2,10,13,1164.000000000000000,9.900000000000000
,2202,E00075451,365817.205000000020000,171873.223999999990000,168,18,37,57,30,1,0,0,5,8,12,1859.300000000000000,12.600000000000000
,2203,E00075843,371471.238000000010000,181993.764000000000000,78,20,3,3,23,3,2,3,0,7,14,631.000000000000000,11.100000000000000
,2204,E00075647,365963.467000000000000,178355.874000000010000,161,17,35,68,14,2,2,2,5,4,12,1789.099999999999900,12.300000000000001
,2205,E00075643,367892.719999999970000,173151.986000000000000,217,13,34,66,34,6,3,2,6,34,19,2426.400000000000100,14.800000000000001
,2206,E00075378,364559.617000000030000,172061.915000000010000,168,28,30,45,22,1,3,3,3,9,24,1337.000000000000000,9.900000000000000
,2207,E00075326,360545.327999999980000,178861.799999999990000,131,31,36,31,9,0,1,3,4,6,10,1716.700000000000000,14.900000000000000
,2208,E00075561,365736.868000000020000,176518.677000000000000,193,22,35,61,14,3,1,3,5,17,32,1978.700000000000000,13.699999999999999
,2209,E00075558,365986.699000000020000,176908.696999999990000,170,34,28,51,20,5,1,0,1,16,14,1131.200000000000000,8.100000000000000
,2210,E00075250,375313.647000000000000,181536.062999999990000,181,11,16,13,48,5,3,7,13,46,19,3214.800000000000200,27.699999999999999
,2211,E00073398,361516.349999999980000,171696.929999999990000,159,38,53,14,21,4,1,4,4,11,9,1645.400000000000100,11.800000000000001
,2212,E00074268,361442.587000000000000,168587.880000000000000,171,17,60,36,24,4,2,0,5,7,16,1729.900000000000100,11.699999999999999
,2213,E00074269,362027.098999999990000,168533.842000000000000,132,21,33,35,17,3,0,3,5,11,4,1870.599999999999900,16.000000000000000
,2214,E00074256,357465.150000000020000,171487.220000000000000,189,55,62,17,11,6,6,2,3,13,14,1452.000000000000000,9.000000000000000
,2215,E00074257,357949.412000000010000,171516.261000000000000,211,73,50,28,13,5,3,2,8,13,16,2318.500000000000000,12.699999999999999
,2216,E00074254,357028.292000000020000,171526.788000000000000,131,29,53,16,9,1,0,3,1,13,6,798.500000000000000,7.100000000000000
,2217,E00074255,357122.343999999980000,171498.095999999990000,33,5,13,3,1,2,0,0,1,5,3,296.899999999999980,11.900000000000000
,2218,E00074252,358032.999000000010000,171584.456000000010000,199,71,38,26,14,3,0,4,6,17,20,1577.300000000000000,9.699999999999999
,2219,E00074253,357550.967000000000000,171554.071999999990000,215,61,55,32,16,4,5,5,6,15,16,2153.199999999999800,11.699999999999999
,2220,E00074250,357628.451000000000000,171664.443999999990000,188,45,52,30,15,2,3,7,7,13,14,1999.000000000000000,12.400000000000000
,2221,E00074251,357704.853000000000000,171646.380000000000000,193,70,44,18,25,2,1,4,6,17,6,2060.400000000000100,12.100000000000000
,2222,E00074258,357785.185000000000000,171495.390000000010000,258,81,85,29,14,3,3,4,9,14,16,3051.300000000000200,13.400000000000000
,2223,E00074259,358475.592000000000000,171676.728999999990000,69,29,19,5,6,0,0,0,0,6,4,208.099999999999990,3.500000000000000
,2224,E00073566,361115.375999999990000,174424.761999999990000,93,9,40,14,7,2,1,2,0,8,10,520.799999999999950,6.900000000000000
,2225,E00074206,358745.759000000020000,178511.309000000010000,126,22,49,37,2,1,1,1,0,6,7,556.399999999999980,4.900000000000000
