FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047252,374599.463999999980000,163950.812000000010000,282,71,31,17,36,6,1,2,3,85,30,1526.800000000000000,9.100000000000000
,E33047253,375902.378000000030000,162310.158000000000000,255,61,55,25,24,6,1,1,3,55,24,1280.000000000000000,7.300000000000000
,E33047250,374550.923000000010000,163601.603000000000000,363,48,20,15,27,3,1,1,6,184,58,1556.500000000000000,12.900000000000000
,E33047815,364883.163999999990000,175148.478999999990000,316,93,54,42,19,2,1,0,8,47,50,2126.400000000000100,9.699999999999999
,E33047812,364987.288999999990000,176016.135000000010000,286,75,57,56,12,4,3,3,5,37,34,1647.800000000000000,7.700000000000000
,E33047813,366031.414999999980000,175073.689000000010000,397,76,80,75,26,15,8,16,16,43,42,4865.199999999999800,15.600000000000000
,E33047810,365432.136999999990000,175858.867999999990000,475,117,84,93,38,12,8,2,1,64,56,2531.300000000000200,7.100000000000000
,E33047811,364792.586000000010000,175984.902999999990000,577,135,121,143,34,20,16,11,13,27,57,5021.899999999999600,10.199999999999999
,E33047818,364828.675999999980000,175529.098999999990000,588,183,108,79,22,16,12,4,5,57,102,2984.000000000000000,7.000000000000000
,E33047819,364605.902000000000000,174557.355000000010000,265,84,62,34,17,4,0,1,1,23,39,989.100000000000020,4.900000000000000
,E33047176,359445.298000000010000,173657.519999999990000,361,36,123,79,36,18,12,21,21,10,5,6061.000000000000000,17.500000000000000
,E33047177,359355.408000000000000,173588.079000000000000,695,76,229,133,91,46,37,47,30,2,4,11246.500000000000000,16.300000000000001
,E33047174,358576.098999999990000,173011.929999999990000,411,87,117,84,50,19,13,11,30,0,0,7609.199999999999800,18.500000000000000
,E33047175,358558.856000000030000,173151.810999999990000,295,71,90,43,30,11,7,10,12,13,8,3665.099999999999900,13.400000000000000
,E33047172,362670.851000000020000,176158.554999999990000,824,125,323,165,90,32,39,28,12,6,4,8580.700000000000700,10.500000000000000
,E33047173,358614.621999999970000,173082.109999999990000,529,90,191,117,66,21,15,12,16,1,0,6293.100000000000400,11.900000000000000
,E33047170,359205.158000000000000,172715.087999999990000,846,145,286,167,118,39,27,31,33,0,0,12113.000000000000000,14.300000000000001
,E33047171,362621.003000000030000,176371.000000000000000,365,54,154,77,33,14,7,15,4,4,3,3234.400000000000100,9.000000000000000
,E33047346,358646.893999999970000,176593.837999999990000,469,110,96,66,18,18,4,3,5,97,52,2296.500000000000000,7.200000000000000
,E33047347,362680.218999999980000,175868.190999999990000,307,55,82,46,20,4,2,7,7,45,39,2342.099999999999900,10.500000000000000
,E33047344,358289.864000000000000,177080.969000000010000,278,44,24,22,20,3,4,0,5,117,39,1223.300000000000000,10.000000000000000
,E33047345,357909.827999999980000,176115.287000000010000,307,39,60,39,6,0,0,1,2,108,52,852.500000000000000,5.800000000000000
,E33047342,359574.060999999990000,176483.111000000000000,331,73,52,31,18,5,2,9,15,57,69,3429.800000000000200,16.699999999999999
,E33047343,358056.893999999970000,176464.284000000010000,214,64,45,35,16,4,1,2,2,29,16,1201.200000000000000,7.100000000000000
,E33047178,364494.767999999980000,168075.073999999990000,317,42,27,42,32,4,0,0,3,66,101,1478.500000000000000,9.900000000000000
,E33047340,359876.962999999990000,176268.095999999990000,274,26,32,53,3,6,3,2,2,82,65,1104.700000000000000,8.699999999999999
,E33047179,365255.527000000000000,168805.068999999990000,710,142,132,89,73,13,6,4,13,113,125,4622.100000000000400,9.800000000000001
,E33047341,359608.822999999970000,177149.859999999990000,347,28,43,68,11,21,7,8,1,88,72,2002.000000000000000,10.699999999999999
,E33047556,346781.142999999980000,176279.655999999990000,545,159,24,39,37,11,3,1,4,130,137,2194.599999999999900,7.900000000000000
,E33047557,347093.984999999990000,176717.980000000010000,342,98,28,52,80,31,2,7,0,22,22,2873.199999999999800,9.600000000000000
,E33047554,346465.090000000030000,176720.859999999990000,292,93,12,28,32,11,4,3,1,71,37,1479.500000000000000,8.000000000000000
,E33047555,346714.460000000020000,176305.410999999990000,561,250,46,69,104,24,9,12,10,19,18,5122.800000000000200,9.800000000000001
,E33047552,346951.289999999980000,177183.657000000010000,289,47,21,2,6,7,0,0,0,124,82,348.300000000000010,4.200000000000000
,E33047553,347387.169999999980000,177165.056000000010000,318,57,12,29,19,12,0,3,4,117,65,1663.800000000000000,12.199999999999999
,E33047623,353773.118000000020000,165172.062000000010000,305,26,8,24,29,7,2,1,2,113,93,1460.700000000000000,14.800000000000001
,E33047458,358199.125000000000000,172539.858000000010000,956,260,242,221,108,45,19,15,24,12,10,9960.799999999999300,10.699999999999999
,E33047620,345808.762999999980000,165755.206000000010000,251,20,25,12,53,11,2,2,4,87,35,2072.000000000000000,16.100000000000001
,E33047459,358333.083999999970000,172975.935999999990000,484,141,125,95,42,6,5,8,14,30,18,4515.899999999999600,10.400000000000000
,E33047621,347056.891000000000000,162136.736999999990000,278,46,23,33,93,14,4,1,11,29,24,4212.399999999999600,18.699999999999999
,E33047628,343861.533999999990000,162054.097000000010000,405,15,31,95,52,36,15,22,15,90,34,6123.800000000000200,21.800000000000001
,E33047629,344006.018999999970000,164598.416000000000000,414,76,36,83,49,16,4,3,5,89,53,2765.099999999999900,10.199999999999999
,E33045487,365585.342999999990000,168442.513000000010000,223,54,34,66,33,11,2,2,8,6,7,2562.800000000000200,12.199999999999999
,E33045485,365408.170999999970000,168611.964000000010000,334,106,68,74,54,10,2,1,1,15,3,2098.900000000000100,6.600000000000000
,E33045484,365449.929999999990000,168626.583000000010000,309,73,66,78,58,16,1,4,12,0,1,4259.699999999999800,13.800000000000001
,E33045483,365422.712000000000000,168754.303000000010000,299,80,61,77,51,14,3,3,0,4,6,2113.000000000000000,7.300000000000000
,E33045482,366854.093999999980000,168376.837000000000000,637,64,110,209,127,34,9,17,28,26,13,8767.200000000000700,14.699999999999999
,E33045481,366544.574000000020000,169158.594000000010000,542,83,153,162,70,17,7,6,8,20,16,4402.399999999999600,8.699999999999999
,E33045480,377826.668999999990000,162908.989999999990000,1075,27,236,170,329,96,38,62,85,25,7,20656.000000000000000,19.800000000000001
,E33045616,360996.661000000020000,172668.801000000010000,355,47,122,85,35,15,20,9,7,6,9,4056.300000000000200,11.900000000000000
,E33045697,359810.059000000010000,179016.280000000000000,277,45,75,54,38,12,8,8,12,17,8,3258.500000000000000,12.900000000000000
,E33045617,360672.505999999990000,173831.693000000000000,202,55,79,28,17,3,2,2,4,8,4,1603.000000000000000,8.400000000000000
,E33045696,372693.449000000020000,182187.060000000000000,441,137,78,67,103,24,4,8,6,12,2,4122.300000000000200,9.699999999999999
,E33045614,360518.879000000020000,172253.234999999990000,327,40,120,89,28,14,12,13,11,0,0,4178.800000000000200,12.800000000000001
,E33045695,372878.553000000010000,182220.048000000010000,430,94,94,61,119,23,3,5,3,16,12,3706.400000000000100,9.199999999999999
,E33045615,360974.028999999980000,172164.970000000000000,239,18,73,51,33,19,15,16,14,0,0,4594.699999999999800,19.199999999999999
,E33045694,372327.054999999990000,182996.885000000010000,543,121,57,49,126,34,40,26,72,12,6,16939.400000000001000,32.299999999999997
,E33045612,360515.132999999970000,172382.127000000010000,260,35,84,59,32,12,12,11,15,0,0,4073.800000000000200,15.699999999999999
,E33045693,372270.685999999990000,182287.538999999990000,398,53,31,42,129,19,17,25,71,11,0,13034.000000000000000,33.700000000000003
,E33045613,360762.724999999980000,172414.079999999990000,828,56,221,233,162,54,19,28,54,0,1,15566.900000000000000,18.800000000000001
,E33045692,360946.882999999970000,183274.831999999990000,270,34,31,78,68,12,15,15,11,3,3,4426.300000000000200,16.800000000000001
,E33045610,360441.778999999980000,172943.100000000010000,402,39,132,106,45,25,12,29,13,1,0,5830.100000000000400,14.500000000000000
,E33045691,361248.717000000000000,183503.505000000000000,265,13,32,64,57,11,19,40,29,0,0,7640.000000000000000,28.800000000000001
,E33047806,368131.656000000020000,169686.788999999990000,574,37,87,131,97,26,15,8,21,110,42,6753.399999999999600,16.000000000000000
